"ID","AIRLANE_NAME","HEIGHT","LENGHT","WINGSPAN","WEIGHT","MAX_SPEED","MAX_WEIGHT","TOTAL_SEATS_ECO","TOTAL_SEATS_BUS","FUEL_CAPACITY","PRODUCTION_YEAR"
3385,"United Airlines",35,109,77,115,1281,247,614,859,7,1999
3386,"Azul Airlines",25,72,52,72,1037,203,611,855,22,1999
3387,"China Southern Airlines",27,111,53,93,803,246,713,998,18,1993
3388," Qantas Airways",30,119,65,64,1203,158,437,611,11,1989
3389,"Virgin Australia",34,111,47,86,1212,275,877,1227,16,2019
3390,"Iberia",24,74,61,99,1169,166,312,436,8,1992
3391,"Singapore Airlines",25,72,47,57,948,212,721,1009,6,1994
3392,"Malaysia Airlines",24,108,74,93,1117,265,801,1121,6,2016
3393,"Cathay Pacific Airways",24,73,74,87,902,212,583,816,12,2006
3394,"Jetstar Asia",39,68,73,83,1243,158,348,487,13,2022
3395,"Turkish Airlines",30,68,70,73,984,206,619,866,6,1980
3396," Hainan Airlines",25,84,78,86,1187,195,508,711,22,1994
3397,"American Eagle",38,102,80,95,993,196,469,656,17,1983
3398,"LOT",23,61,35,75,1271,144,320,448,12,2019
3399,"LEVEL",35,112,79,65,845,207,659,922,4,2001
3400,"Southwest Airlines",34,78,38,75,1009,260,858,1201,8,2005
3401,"ITA Airways",31,105,61,109,968,294,858,1201,14,1999
3402,"China Southern Airlines",38,98,39,80,1263,224,671,939,17,2010
3403,"EasyJet",32,90,66,62,1285,189,591,827,15,1992
3404,"China Southern Airlines",23,112,67,75,1104,120,212,296,16,1989
3405,"JetSmart",20,69,54,102,874,163,286,400,23,2019
3406,"Air Dolomiti",38,81,79,91,1258,147,262,366,13,2013
3407,"JetBlue Airways",31,56,46,55,857,135,372,520,10,2003
3408,"LATAM",36,107,55,64,1194,117,246,344,7,1982
3409,"Philippine Airlines",23,106,78,83,1228,262,831,1163,21,1998
3410,"Ryanair",33,119,59,89,858,233,668,935,23,1999
3411,"WestJet",29,105,45,82,1264,152,327,457,10,2005
3412,"Southwest Airlines",31,80,61,105,1137,256,703,984,12,2015
3413,"Ethiopian Airlines",32,57,47,115,1233,258,663,928,7,1984
3414,"Air Transat",30,65,48,117,1073,218,469,656,15,1994
3415,"Japan Airlines",40,105,35,60,1238,95,165,231,6,2005
3416,"Thai Airways",24,82,53,78,892,160,382,534,12,2014
3417,"Copa Airlines",38,56,53,52,1219,245,895,1253,22,1988
3418,"Flynas",27,92,61,100,807,258,736,1030,9,1991
3419,"Vietnam Airlines",35,54,44,71,1250,179,502,702,18,2021
3420,"British Airways",22,52,40,96,864,228,612,856,19,2001
3421," Aegean Airlines",22,75,40,94,928,192,455,637,14,1982
3422,"Egyptair",38,104,51,117,995,288,793,1110,24,2010
3423,"Air Transat",29,101,72,93,1069,262,783,1096,22,1995
3424,"United Airlines",37,78,43,92,1079,237,672,940,22,2008
3425,"Buta Airways",33,113,50,59,1192,157,455,637,18,1983
3426,"China Airlines",21,109,64,51,1228,113,291,407,8,2013
3427,"Asiana Airlines",30,93,51,114,1027,215,471,659,12,2012
3428,"SAS Scandinavian",37,63,50,67,1221,135,315,441,18,2012
3429,"Citilink",32,90,70,50,1244,188,642,898,17,2003
3430,"Scoot",40,65,31,54,982,148,438,613,8,1981
3431,"LOT",34,101,57,80,922,175,441,617,8,2021
3432,"Ryanair",30,56,79,90,910,226,630,882,14,1992
3433,"SAS Scandinavian",30,95,36,81,851,164,388,543,13,2000
3434,"Air Canada rouge",33,97,73,111,1245,295,856,1198,20,2021
3435,"Cathay Pacific Airways",30,51,72,54,820,140,399,558,4,1992
3436,"Scoot",29,117,43,92,1160,278,863,1208,18,1986
3437,"Air Dolomiti",21,104,70,93,1138,231,641,897,14,2018
3438,"Bangkok Airways",30,114,58,88,1117,131,203,284,13,2017
3439,"flyDubai",36,50,48,71,1264,256,859,1202,14,2008
3440,"China Eastern Airlines",29,116,57,54,952,187,619,866,17,2015
3441,"British Airways",24,61,31,57,1197,234,824,1153,8,1991
3442," Aegean Airlines",26,76,66,56,935,177,563,788,6,1982
3443,"SunExpress",31,98,43,70,926,126,261,365,21,1981
3444," Qantas Airways",23,85,65,52,974,124,337,471,5,1992
3445,"LEVEL",27,55,58,74,830,245,793,1110,19,2019
3446,"Quatar Airways",22,93,42,80,1293,215,629,880,13,1985
3447," Austrian Airlines",28,65,39,85,811,194,509,712,9,1983
3448,"Air Arabia",38,96,74,107,1077,170,295,413,13,1994
3449,"Egyptair",31,75,52,59,925,123,297,415,16,1994
3450,"Avianca",32,92,52,102,1002,144,197,275,14,2013
3451,"Air New Zealand",26,82,33,103,946,177,343,480,20,1996
3452,"JetSmart",24,104,53,63,972,230,777,1087,10,2003
3453,"China Southern Airlines",35,84,77,103,1274,264,748,1047,14,2004
3454,"Azerbaijan Airlines",34,87,37,109,1009,260,701,981,9,2001
3455,"Hong Kong Airlines",20,107,45,98,886,241,665,931,6,1987
3456,"Saudi Arabian Airlines",28,73,58,80,1273,237,729,1020,19,2017
3457,"Ryanair",28,80,37,63,926,131,319,446,12,2017
3458,"JetSmart",22,67,61,52,1179,149,450,630,22,2003
3459,"Air New Zealand",33,52,49,86,1000,183,453,634,11,2005
3460,"Hong Kong Airlines",24,67,56,107,804,235,597,835,18,1998
3461,"Brussels Airlines",39,86,38,102,1034,274,799,1118,23,2021
3462,"Oman Air",35,95,61,108,999,159,240,336,15,2010
3463,"Buta Airways",36,94,68,108,1016,260,704,985,22,1984
3464,"American Airlines",32,116,46,107,1024,226,552,772,13,2009
3465,"IndiGo",28,68,39,90,911,265,814,1139,15,1981
3466,"Quatar Airways",30,120,78,108,1068,191,388,543,15,2008
3467,"KLM Royal Dutch Airlines",21,92,62,72,1217,255,849,1188,11,1997
3468,"Singapore Airlines",25,62,66,70,1250,223,712,996,16,1991
3469,"Royal Air Maroc",32,93,36,116,1166,166,233,326,8,2013
3470,"Egyptair",30,118,79,97,980,135,180,252,13,1981
3471,"LEVEL",28,80,41,89,814,173,393,550,24,1986
3472,"Delta Air Lines",24,64,65,101,844,162,287,401,14,1984
3473,"Jet2.com",21,80,40,84,963,217,616,862,7,2007
3474,"Kenya Airways",31,69,65,88,1130,198,510,714,10,2014
3475,"Avianca",31,61,54,106,881,155,228,319,12,2012
3476,"Hong Kong Airlines",25,111,63,92,946,222,606,848,14,2012
3477,"Air Arabia",35,101,68,51,982,165,530,742,4,1986
3478,"Scoot",28,59,36,92,1016,227,626,876,21,1980
3479,"TUI Airways",40,55,38,51,1100,237,864,1209,12,1985
3480,"Royal Brunei Airlines",38,62,53,120,1108,178,272,380,19,2014
3481,"Southwest Airlines",26,92,61,100,1202,264,762,1066,20,1994
3482,"Scoot",24,82,51,71,1088,262,885,1239,13,2009
3483,"LATAM",29,60,61,67,943,238,794,1111,8,2005
3484,"Royal Brunei Airlines",27,72,78,78,975,271,896,1254,14,1993
3485,"Ethiopian Airlines",24,99,59,117,904,275,732,1024,8,2022
3486," Aegean Airlines",29,85,63,91,1036,170,367,513,19,1989
3487,"Vueling Airlines",37,103,46,75,1046,171,448,627,22,1992
3488,"Air Arabia",32,73,60,98,1256,205,496,694,22,2000
3489,"Malaysia Airlines",24,61,31,67,815,197,606,848,23,1996
3490,"TAP Portugal",27,95,38,93,902,210,544,761,22,1981
3491,"Virgin Australia",28,118,79,82,951,233,703,984,10,1984
3492,"Lufthansa",28,84,59,61,1130,218,728,1019,15,2001
3493,"Virgin Australia",30,88,76,62,1028,210,687,961,24,2008
3494,"Thai Airways",26,80,38,98,882,196,458,641,16,2001
3495," Hainan Airlines",23,99,51,106,905,206,465,651,22,2013
3496,"JetSmart",26,88,50,116,1115,264,687,961,18,1981
3497,"Air Mauritius",26,93,33,76,1154,219,664,929,15,2005
3498," Air Canada",28,105,76,94,804,160,309,432,10,2017
3499,"SAS Scandinavian",27,91,77,56,882,100,207,289,19,2005
3500,"Delta Air Lines",28,83,66,76,1004,208,614,859,21,2021
3501,"Aer Lingus",34,104,34,50,1286,189,647,905,20,2019
3502,"American Airlines",33,68,31,61,1079,197,630,882,9,2020
3503,"EVA Air",32,114,60,86,905,245,738,1033,5,1982
3504,"Bangkok Airways",21,63,61,68,914,190,565,791,23,1983
3505,"Kuwait Airways",28,63,74,96,1014,152,261,365,16,2002
3506,"Southwest Airlines",28,110,45,58,941,252,899,1258,6,1989
3507,"Vistara",35,82,70,115,1164,181,308,431,9,2001
3508,"EasyJet",36,81,40,113,1143,304,889,1244,14,2009
3509,"China Airlines",31,54,40,87,895,159,336,470,6,2018
3510,"flyDubai",34,93,64,87,1034,264,820,1148,18,2017
3511,"ITA Airways",24,98,46,75,1291,223,688,963,20,2020
3512,"Saudi Arabian Airlines",26,103,53,53,1218,167,530,742,16,2012
3513,"ANA All Nippon Airways",23,72,63,88,870,275,869,1216,20,1983
3514,"Jet2.com",22,103,31,78,955,263,857,1199,25,1997
3515,"Scoot",25,97,60,108,1281,167,274,383,18,2014
3516,"LATAM",36,97,54,95,960,212,546,764,5,1986
3517,"Finnair",35,51,72,68,814,200,612,856,6,2011
3518,"Virgin Australia",37,61,50,60,1148,162,474,663,11,1982
3519,"Oman Air",22,53,68,100,878,291,885,1239,15,1980
3520,"Southwest Airlines",29,52,77,64,1129,154,417,583,21,1985
3521,"Malaysia Airlines",27,82,75,104,833,184,371,519,19,1989
3522,"British Airways",32,108,30,86,1098,241,722,1010,7,1987
3523," Aegean Airlines",33,112,35,100,1039,161,283,396,21,2016
3524,"British Airways",24,76,47,110,1108,164,250,350,8,2003
3525,"Garuda Indonesia",27,63,61,51,1164,157,494,691,21,1998
3526,"Scoot",31,91,71,50,844,201,702,982,21,1994
3527,"Oman Air",38,54,51,106,1008,140,158,221,13,1983
3528,"Rex Airlines",32,117,32,104,942,222,547,765,14,1988
3529,"Azul Airlines",25,100,74,65,1199,212,685,959,12,2005
3530," Hainan Airlines",36,95,33,68,1145,108,187,261,25,1984
3531,"Royal Brunei Airlines",34,50,33,92,1013,147,255,357,16,1999
3532,"Aer Lingus",39,65,57,64,893,209,673,942,18,2007
3533," Qantas Airways",33,68,33,107,1068,299,890,1246,23,2002
3534,"Virgin Australia",37,84,61,94,1191,189,440,616,9,1988
3535,"Wizz Air",32,64,45,53,985,178,582,814,14,2019
3536,"Azul Airlines",38,66,58,79,1067,117,180,252,14,1981
3537,"Turkish Airlines",32,100,43,74,1040,182,501,701,11,2009
3538,"JetBlue Airways",27,98,66,102,1211,193,422,590,16,2003
3539,"South African Airways",24,59,55,79,1169,141,290,406,24,2000
3540,"Bangkok Airways",37,58,50,112,1034,195,385,539,8,2018
3541,"Thai Airways",40,83,62,81,1294,139,270,378,9,2014
3542,"Rex Airlines",38,66,67,74,1197,144,325,455,11,2015
3543,"Southwest Airlines",31,91,32,83,833,267,855,1197,8,2009
3544,"Air Mauritius",39,67,59,85,1017,140,258,361,18,1995
3545,"Southwest Airlines",24,53,30,81,1003,118,174,243,18,1986
3546,"Southwest Airlines",28,89,45,87,1134,204,546,764,18,2012
3547,"Rex Airlines",24,80,66,74,1129,194,560,784,14,1998
3548,"Copa Airlines",35,78,51,86,935,219,618,865,21,2008
3549,"Egyptair",20,75,74,71,894,263,891,1247,10,1993
3550,"Air Canada rouge",24,61,67,106,1133,192,400,560,10,1981
3551,"ANA All Nippon Airways",35,59,76,112,890,182,326,456,12,1992
3552,"Philippine Airlines",37,51,65,53,992,143,417,583,13,2018
3553,"Thai Airways",30,69,46,95,1160,149,254,355,10,2018
3554," Aegean Airlines",26,120,65,117,1225,154,172,240,17,2007
3555,"Vistara",37,88,69,107,1091,232,581,813,15,1990
3556,"Jet2.com",36,93,39,84,1012,196,520,728,5,1989
3557,"airBaltic",23,117,69,91,1096,176,396,554,11,1994
3558,"Virgin Atlantic",21,87,64,78,882,229,701,981,24,2011
3559,"Aer Lingus",31,78,63,71,1132,146,349,488,11,2011
3560,"Sky Airline",26,78,70,101,947,231,603,844,24,2003
3561,"Eurowings",38,111,54,120,861,278,733,1026,6,1991
3562,"Singapore Airlines",37,89,39,54,1276,164,513,718,7,2000
3563,"Azerbaijan Airlines",28,92,47,84,993,185,469,656,23,2001
3564,"Kenya Airways",37,88,74,76,941,136,281,393,24,2004
3565,"Royal Air Maroc",35,93,46,118,1286,259,656,918,10,2022
3566,"Air Serbia",30,83,47,102,875,221,553,774,16,2020
3567,"Flynas",38,91,59,95,1113,185,421,589,12,1988
3568,"Kuwait Airways",31,65,40,59,974,248,879,1230,23,1983
3569,"Air France",36,69,60,94,1242,198,483,676,21,2008
3570,"Azerbaijan Airlines",37,65,48,62,1192,164,475,665,9,1990
3571,"Kenya Airways",38,89,66,52,869,117,302,422,21,2002
3572,"JetSmart",26,104,66,91,1278,187,445,623,19,2014
3573,"Royal Air Maroc",35,52,76,55,982,245,882,1234,19,1986
3574,"IndiGo",28,50,38,66,876,183,543,760,23,1982
3575,"Lufthansa",28,53,63,55,1102,110,256,358,22,2012
3576,"Air Dolomiti",40,85,37,94,919,141,221,309,7,2012
3577,"Saudi Arabian Airlines",34,63,70,68,1094,248,838,1173,15,2018
3578," Hainan Airlines",25,91,63,98,939,275,823,1152,23,1996
3579,"Thai Airways",39,112,72,106,1082,296,884,1237,24,2001
3580,"EVA Air",35,67,32,60,1163,208,686,960,11,2002
3581,"Oman Air",27,102,44,83,1238,127,204,285,23,2002
3582,"flyDubai",22,64,58,120,986,249,599,838,22,1995
3583,"Japan Airlines",34,74,71,78,1195,216,643,900,12,1991
3584,"Avianca",34,95,76,63,880,194,607,849,13,2016
3585,"Air France",22,117,62,52,1265,127,350,490,17,1991
3586,"LATAM",34,119,39,70,946,203,619,866,8,2007
3587,"Quatar Airways",35,91,63,53,1214,220,775,1085,12,2006
3588,"Jetstar Asia",29,112,34,62,1297,166,485,679,9,2007
3589,"Philippine Airlines",37,66,50,107,859,161,250,350,13,2018
3590,"Bangkok Airways",20,84,69,66,1029,103,173,242,21,2000
3591,"LEVEL",27,100,77,72,1226,123,238,333,9,2011
3592,"Azerbaijan Airlines",35,80,62,112,1171,151,183,256,15,2005
3593,"Lufthansa",37,53,62,87,1211,260,802,1122,18,2015
2727,"Asiana Airlines",31,102,41,88,824,122,159,222,17,2015
2728,"Citilink",24,60,62,114,978,216,474,663,4,2007
2729,"Aer Lingus",35,104,43,97,855,161,299,418,6,2020
2730,"Virgin Atlantic",22,98,72,107,1246,221,530,742,12,2016
2731,"Jet2.com",38,103,59,60,844,211,703,984,18,1996
2732,"Citilink",24,107,37,93,1089,184,425,595,11,1980
2733,"Delta Air Lines",23,97,77,110,1146,197,406,568,14,1991
2734,"Avianca",37,78,72,59,1072,200,657,919,24,2008
2735,"Egyptair",20,64,63,57,842,220,758,1061,15,2000
2736,"Ryanair",29,61,45,117,908,269,705,987,9,1996
2737,"Air Serbia",34,90,48,73,823,175,473,662,14,2018
2738,"Cathay Pacific Airways",39,67,34,76,1271,123,220,308,11,2005
2739,"Jet2.com",32,94,54,78,1128,268,881,1233,23,2022
2740,"Hong Kong Airlines",31,83,79,77,841,130,248,347,17,2000
2741,"Iberia",39,56,53,51,1138,144,435,609,23,2017
2742,"Thai Airways",29,91,45,95,875,286,889,1244,12,1988
2743,"Singapore Airlines",34,73,35,64,805,199,626,876,13,2013
2744,"LOT",28,90,49,90,862,265,813,1138,16,1986
2745,"Iberia",38,87,57,111,1165,278,776,1086,22,1987
2746,"Citilink",34,50,34,66,1205,201,625,875,6,2001
2747,"Delta Air Lines",26,106,30,99,1042,202,478,669,6,1983
2748,"Philippine Airlines",29,96,50,74,938,241,774,1083,24,2003
2749,"Southwest Airlines",32,56,38,96,873,197,469,656,15,2013
2750,"Buta Airways",25,117,39,75,1213,131,264,369,6,2022
2751,"Aer Lingus",36,94,53,63,1222,185,565,791,11,2015
2752,"Azerbaijan Airlines",30,95,53,57,822,169,522,730,8,1991
2753,"Brussels Airlines",40,83,70,89,827,155,307,429,12,2016
2754,"Thai Airways",32,53,61,106,1266,251,672,940,7,1990
2755,"Jet2.com",32,66,52,97,878,227,605,847,22,1996
2756,"Hong Kong Airlines",33,54,50,53,1201,100,220,308,4,2011
2757,"JetBlue Airways",36,84,55,109,1047,265,726,1016,17,1983
2758,"Air Transat",36,90,64,51,1050,208,731,1023,14,2013
2759,"Jet2.com",37,62,60,85,1208,224,644,901,16,1984
2760,"TUI Airways",29,87,49,110,970,280,789,1104,11,2010
2761,"Ethiopian Airlines",29,69,76,101,876,191,417,583,20,1990
2762,"Bangkok Airways",28,104,64,84,859,129,212,296,22,1994
2763,"EasyJet",21,88,71,118,1004,210,427,597,7,1988
2764,"Buta Airways",26,63,38,54,1287,130,354,495,11,2010
2765,"Korean Air",39,112,38,94,1224,249,719,1006,13,2013
2766,"Philippine Airlines",22,115,50,115,1237,208,435,609,6,1983
2767,"British Airways",26,64,48,63,1145,148,394,551,19,2012
2768,"Lufthansa",36,72,79,81,844,233,704,985,7,2020
2769,"Scoot",24,117,57,94,1004,204,511,715,21,2019
2770,"Aer Lingus",38,102,38,70,976,260,881,1233,18,2000
2771," Aegean Airlines",38,59,70,106,1019,239,619,866,23,1991
2772,"Bangkok Airways",36,76,56,54,1115,185,611,855,17,2004
2773,"Air Dolomiti",32,63,42,85,998,139,252,352,6,1982
2774,"SunExpress",25,78,46,94,847,270,819,1146,5,2013
2775,"ITA Airways",30,66,80,74,1059,215,656,918,15,1990
2776,"China Eastern Airlines",38,114,34,97,857,225,594,831,21,2010
2777,"IndiGo",37,119,69,94,1281,161,314,439,17,2009
2778,"Hong Kong Airlines",24,59,71,75,1026,179,482,674,16,1991
2779,"Turkish Airlines",24,61,41,118,814,271,709,992,4,1988
2780,"Delta Air Lines",29,51,52,97,1047,260,755,1057,10,2005
2781,"Alaska Airlines",30,90,59,90,1039,215,582,814,4,2002
2782," Air Canada",22,114,32,90,1083,281,886,1240,9,1994
2783,"flyDubai",29,78,33,64,1169,166,477,667,6,2020
2784,"Brussels Airlines",23,79,70,78,1263,225,682,954,15,1982
2785,"Air Dolomiti",37,97,54,88,978,241,711,995,4,1998
2786,"TUI Airways",30,111,61,90,863,150,281,393,21,2004
2787," Qantas Airways",39,105,68,90,1232,124,160,224,24,1982
2788,"Japan Airlines",30,68,45,101,967,141,187,261,8,1981
2789,"KLM Royal Dutch Airlines",32,97,32,51,1103,242,888,1243,10,1992
2790,"Scoot",36,99,79,80,905,208,596,834,14,1990
2791,"Korean Air",21,51,71,74,1081,139,304,425,7,2003
2792,"China Eastern Airlines",23,81,38,62,878,174,521,729,24,2014
2793,"Philippine Airlines",34,73,45,80,1093,222,659,922,21,1994
2794,"Swiss International Air Lines",37,106,62,81,873,270,879,1230,14,2000
2795,"Rex Airlines",20,73,40,53,1037,140,405,567,24,1991
2796,"Vietnam Airlines",35,73,44,69,1054,196,592,828,7,2018
2797,"Hong Kong Airlines",24,95,45,89,1025,171,384,537,7,2014
2798," Gulf Air",24,88,58,94,1233,164,325,455,25,1982
2799,"Copa Airlines",32,89,71,98,997,218,557,779,12,1982
2800,"South African Airways",23,84,67,106,1168,258,708,991,14,1989
2801,"Oman Air",35,68,40,79,1087,261,847,1185,11,2005
2802,"Air Canada rouge",40,52,32,84,929,134,233,326,20,1984
2803,"Rex Airlines",34,117,78,61,935,193,612,856,10,2006
2804,"Iberia",31,96,55,83,958,135,245,343,19,1990
2805,"United Airlines",35,110,47,76,1263,204,596,834,22,2016
2806,"Delta Air Lines",34,103,67,118,891,168,235,329,5,1993
2807,"Copa Airlines",21,52,71,93,1184,251,735,1029,24,2003
2808,"airBaltic",37,73,44,110,856,219,508,711,8,2004
2809,"Kenya Airways",33,57,75,73,860,177,483,676,14,2005
2810,"Flynas",28,102,57,73,886,135,289,404,22,2019
2811,"Air France",35,53,38,59,1020,133,343,480,18,1984
2812,"Avianca",21,51,49,64,1069,163,462,646,15,2018
2813," Austrian Airlines",28,92,70,77,914,211,621,869,8,1998
2814,"Air Malta",35,120,62,80,1197,233,712,996,8,2022
2815,"IndiGo",37,101,73,105,1288,150,210,294,13,2021
2816,"South African Airways",24,52,35,78,943,225,683,956,4,2014
2817,"Swiss International Air Lines",26,68,79,118,1242,273,719,1006,17,2018
2818,"Azerbaijan Airlines",33,81,53,87,1177,175,412,576,5,1996
2819,"Cathay Pacific Airways",39,74,56,90,1006,168,364,509,22,1987
2820,"Sky Airline",24,115,30,71,974,165,438,613,6,2002
2821,"JetBlue Airways",33,118,52,67,1092,192,580,812,24,2002
2822,"South African Airways",35,56,52,75,982,137,288,403,19,1999
2823,"Saudi Arabian Airlines",22,104,78,98,1132,178,373,522,22,1990
2824,"Garuda Indonesia",24,93,35,92,802,269,822,1150,22,2016
2825,"Malaysia Airlines",39,64,34,116,874,244,595,833,21,1988
2826,"Virgin Australia",24,107,31,95,844,149,252,352,5,2013
2827,"Finnair",39,53,71,77,1249,207,603,844,24,1980
2828,"JetSmart",39,105,33,71,1288,122,237,331,24,1992
2829,"TUI Airways",26,120,67,116,1157,281,768,1075,22,2012
2830,"Delta Air Lines",26,82,59,62,1223,153,424,593,14,2005
2831,"Lufthansa",25,68,32,116,921,211,440,616,7,1990
2832,"Iberia",26,102,72,94,1220,148,252,352,11,1983
2833,"Garuda Indonesia",31,65,43,62,1199,103,191,267,21,1984
2834,"Vueling Airlines",34,68,58,94,1288,172,362,506,8,2018
2835,"Aer Lingus",22,87,62,85,1271,190,488,683,19,1990
2836,"Alaska Airlines",21,75,58,71,1244,107,170,238,7,2004
2837,"Lufthansa",23,113,36,111,1037,194,388,543,21,1999
2838,"Scoot",33,81,42,79,975,175,448,627,15,2007
2839,"IndiGo",35,85,33,88,1248,139,239,334,23,2008
2840,"Air Astana",28,54,72,103,964,207,485,679,8,2020
2841,"Brussels Airlines",31,118,72,80,986,165,396,554,19,2019
2842,"Flynas",38,59,47,82,1015,273,888,1243,9,2007
2843,"Air Canada rouge",27,101,59,82,1136,220,643,900,6,2015
2844,"Quatar Airways",22,115,54,98,1239,165,311,435,13,2014
2845,"Philippine Airlines",37,103,60,112,1213,197,395,553,24,2011
2846,"Japan Airlines",30,51,71,113,1033,206,431,603,5,2004
2847,"South African Airways",25,79,61,65,958,193,595,833,6,2014
2848,"Oman Air",23,117,46,69,1087,224,722,1010,21,2020
2849,"Korean Air",37,67,48,68,936,118,233,326,7,2001
2850,"Oman Air",29,80,38,70,842,251,839,1174,24,1998
2851,"Finnair",38,73,70,64,1263,247,851,1191,22,2002
2852,"Hong Kong Airlines",35,108,37,67,946,225,735,1029,23,2011
2853,"Eurowings",27,92,43,80,1187,268,874,1223,22,2019
2854,"Air Mauritius",27,108,58,87,1159,196,508,711,15,2022
2855,"Japan Airlines",28,96,45,103,1053,182,368,515,5,1997
2856,"SunExpress",24,99,61,67,834,218,700,980,22,1984
2857,"Jet2.com",21,90,30,66,1247,236,788,1103,22,2018
2858,"Azerbaijan Airlines",25,51,54,79,936,269,880,1232,17,2021
2859,"Azerbaijan Airlines",21,66,69,60,841,197,637,891,9,2013
2860,"JetSmart",29,102,46,67,908,164,450,630,10,2001
2861,"Quatar Airways",27,92,38,78,988,175,450,630,11,2008
2862,"Royal Brunei Airlines",30,74,68,51,963,133,381,533,4,2003
2863,"United Airlines",31,91,64,117,1009,285,782,1094,17,1999
2864,"Bangkok Airways",26,70,69,67,1028,228,749,1048,10,2014
2865,"Scoot",20,101,69,93,1090,250,730,1022,16,1982
2866,"airBaltic",20,67,67,90,1006,245,721,1009,4,2021
2867," Hainan Airlines",35,61,45,63,872,164,471,659,15,1990
2868,"Swiss International Air Lines",28,116,36,116,880,268,706,988,19,1989
2869,"Japan Airlines",29,50,72,77,1276,195,551,771,5,1994
2870,"Ethiopian Airlines",26,81,38,105,1012,211,494,691,16,1990
2871,"JetBlue Airways",21,61,56,70,1243,118,225,315,24,2004
2872,"LOT",29,73,38,83,822,221,641,897,5,1984
2873,"Aer Lingus",28,94,59,64,1050,202,643,900,20,2002
2874,"EVA Air",33,98,48,89,1277,218,600,840,16,2003
2875,"Air Canada rouge",23,111,69,55,1009,136,379,530,4,2018
2876,"Air Serbia",25,76,59,106,1051,167,283,396,21,2001
2877,"Malaysia Airlines",22,66,63,74,1283,144,326,456,19,2010
2878,"Eurowings",35,77,73,98,1220,167,324,453,11,1999
2879,"Egyptair",31,107,43,91,1272,236,675,945,5,1988
2880,"Saudi Arabian Airlines",20,73,49,67,1141,140,341,477,20,1982
